f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,p,t,rh
43.99614786,42.57928016,36.79155642,27.31003891,24.67475681,21.54490272,20.45698444,109.5578405,150.7282198,252.8374903,281.312928,285.2130739,285.401284,285.3986187,999.137234,289.5594108,58.95466448
30.09434394,28.92409543,24.96182903,20.33728628,19.25858847,18.21027833,19.24202783,111.2401789,151.0526839,246.9634493,270.7315905,272.9625249,273.1907952,273.4539364,1015.407339,280.2168474,66.19099249
23.63083092,22.973343,19.96129469,16.31452174,15.42154589,14.44269565,15.12215459,106.1040386,146.7974976,244.9398744,269.7768986,272.1110242,272.2802319,272.4557101,1019.589061,278.1590204,69.83232653
24.46160194,23.4331068,20.73029126,16.71156311,15.56487379,14.52751456,14.96800971,105.7801165,146.6356505,245.9169612,271.9350388,275.207165,275.3773981,275.7699806,1018.374223,282.4710311,61.0212766
27.59857143,26.06510913,22.80764881,18.28356151,17.13327381,16.03188492,16.80625,110.1679663,149.6922024,245.217996,269.8114881,272.6991567,272.9300099,273.1499107,1019.2465,279.6171667,70.06808333
15.96398642,15.34586809,13.95326867,11.94347236,11.60117362,11.26195926,12.3442677,103.3478468,144.2717168,243.6649176,269.8776334,273.6012512,273.9820369,274.4121532,1019.397049,281.0327049,41.48713115
26.87665686,24.76451961,20.81728431,15.55314706,14.21570588,12.86376471,13.09578431,106.8679314,147.2437745,244.9452549,269.8545196,272.3120392,272.4256961,272.6831667,1018.239472,279.2748142,60.28629232
35.36508543,33.91219095,30.17411055,25.05431156,23.92986935,23.08850251,24.96817085,119.3462513,156.9952362,247.6357487,270.7752965,273.7509648,274.0629648,274.3147638,1016.022035,281.5623213,52.90058873
49.29330339,48.11788423,44.09745509,38.47803393,37.41793413,37.13186627,41.12042914,140.0292515,172.8545609,250.9140419,270.8783533,273.4342016,273.635988,273.9070359,1013.589597,280.9485738,60.52256711
31.55105416,30.00432302,25.6168472,19.63414894,18.08512573,16.29485493,16.20527079,106.4238201,147.7326499,247.9657157,273.6113733,276.6332012,277.0895551,277.4585687,1011.032871,284.647553,52.46378467
38.2614833,36.07200393,30.99594303,23.53100196,21.69396857,19.74806483,19.95954813,111.2303536,150.9574558,247.3473772,272.7667583,276.2633694,276.661002,277.0052161,1012.877273,283.6028926,59.96958678
26.77840734,25.77359073,22.61048263,17.77784749,16.50588803,15.13147683,15.29889961,105.5971236,147.0756757,248.1410618,275.1085618,279.6972587,280.2814286,280.6082625,1011.467726,287.4891606,48.71026895
35.36123876,33.1834965,28.60999001,22.48851149,21.12764236,19.73262737,20.51862138,113.1332667,152.0926074,246.8932867,272.0138961,275.5633766,275.9166933,276.1474525,1015.090444,282.654233,60.09362951
33.48727891,30.96443149,25.72889213,19.10419825,17.441069,15.76853256,15.61834791,107.0135569,147.508105,246.5582896,273.2875413,278.0048688,278.629174,279.0835957,1013.550778,286.4402948,47.12776413
31.74288889,31.33864734,26.98816425,20.37947826,18.71993237,16.92807729,16.86063768,107.3909565,147.7226957,246.0771787,272.2071884,276.0064155,276.389971,276.7142609,1015.085738,282.9219234,63.08215159
26.15036786,25.12829622,22.12555663,17.35435624,16.17604066,14.80966118,15.1268151,105.4304453,146.5938625,247.4429138,274.7236108,279.5962246,280.1343562,280.5635044,1013.142857,287.8030204,45.93306122
21.99540619,21.30425532,19.10584139,15.7170793,14.74960348,13.77751451,14.31400387,105.0233462,146.4231431,247.0161896,273.3961219,276.8096905,277.1440716,277.329913,1015.901387,281.724633,62.37830343
24.10178744,23.19619324,20.1428599,15.95855072,14.87183575,13.7623285,14.25881159,104.3441063,146.3225217,249.1037198,276.7729855,281.5294976,281.9756425,282.3704251,1013.263651,288.8788101,43.69119804
24.0628599,23.27500483,20.75700483,16.62894686,15.46374879,14.45141063,14.76066667,105.2428213,147.059314,248.7586667,275.0894879,278.6744444,278.9487053,279.1003382,1014.789233,283.0391517,63.40187602
38.20637487,37.40440783,32.94114315,25.22641607,22.93497425,20.22329557,19.46300721,109.3610608,151.4485994,254.9942842,283.6932338,288.8596189,289.3308754,289.6435427,1003.596661,296.2608108,49.66017488
45.47412071,44.31126951,39.00855359,29.67297607,26.85841831,23.54233091,22.45095734,113.6198127,154.605411,254.9254527,282.0701457,286.2519251,286.4133819,286.5678252,1006.996872,292.6885325,59.29230152
24.70006863,23.95373529,21.44494118,17.77086275,16.86415686,15.78932353,16.4437451,107.8461667,149.1230588,248.3536275,272.8952843,275.2296961,275.5444804,275.8425882,1016.27038,283.2752475,63.27277228
26.28491279,25.24160853,22.38920543,17.84246124,16.60156977,15.23354651,15.5290407,106.5267926,147.8353004,247.4871512,272.0828004,274.0681105,274.2534012,274.4026163,1017.484314,280.2253268,70.47075163
41.49464143,40.53068725,36.2001992,29.71055777,28.19648406,26.79291833,28.27249004,123.5246514,160.9339542,250.6284363,273.7017629,277.0418028,277.4447211,277.7773904,1015.094732,285.1438963,58.07198997
29.65316764,28.05998051,23.81354776,18.3739961,17.15919103,15.877154,16.31155945,108.1179922,148.9159259,247.1732846,272.9186647,276.3406628,276.6562086,276.8601559,1018.276456,283.0110747,59.06718622
22.00415058,21.32114865,19.00444015,15.53932432,14.70920849,13.76791506,14.29883205,104.9404247,146.3861873,247.4635425,274.6582529,279.5144595,279.9466313,280.3642954,1016.379201,287.4944535,42.26688418
19.2325314,18.60898551,17.02033816,14.31578744,13.59307246,12.92166184,13.73153623,104.6351594,146.3442995,247.1031884,273.0202512,276.0018551,276.2350918,276.3269082,1017.283619,281.593643,65.15436023
40.49570289,38.79748754,33.06448654,25.45591226,23.52762712,21.78906281,22.38090728,114.1109372,153.9838385,250.8567498,276.6831007,281.009013,281.4627916,281.8761416,1010.85871,289.8360134,43.65963149
53.61526368,52.67499502,47.31231841,39.69967164,37.9121791,36.74002985,39.59743284,138.0054428,172.5733433,254.8485771,276.402,279.2660199,279.628408,279.8818209,1010.022139,287,54.20651629
34.91033042,33.70998056,28.93246842,22.12035957,20.21083576,18.24387755,18.08904762,108.6430321,149.3307191,248.5275802,274.7819145,279.0462877,279.4267153,279.7902527,1013.738165,286.127027,63.50515971
23.74739512,22.22331707,19.77110244,16.02823415,15.03084878,14.05380488,14.54287805,106.2516098,147.3709463,247.6084488,274.3546537,278.5536976,278.7792878,278.9579122,1017.80699,285.2471217,69.57450658
21.32065558,19.54176125,17.55684932,14.71278865,14.03374755,13.2269863,13.87150685,104.2750294,146.287955,249.0010372,277.4363209,282.7212329,283.1269667,283.5162916,1013.536573,290.5574135,49.18550247
20.38167319,19.60039139,17.65637965,14.64689824,13.93510763,13.08652642,13.80894325,104.3427691,145.9977789,248.3903033,276.7781898,281.4634932,281.7137573,282.0256556,1014.48582,285.9492168,60.37469085
22.27324927,21.73947624,19.31335597,15.64926285,14.71677983,13.7029195,14.05341416,104.4051891,146.4957711,250.7139476,280.1866537,285.8404947,286.3559263,286.7521242,1010.131833,293.2468085,44.67258592
25.91091797,25.50320312,22.2022168,17.31807617,16.09668945,14.76808594,15.02368164,106.0492578,147.7320313,250.1612988,278.7063281,283.5084668,283.7933398,283.9356152,1016.952675,287.2747325,57.60666667
33.38486275,31.67301961,27.03297059,20.40780392,18.81759804,16.78569608,16.71,107.8217843,149.3390588,250.6868235,278.8112549,283.9367157,284.3256961,284.7051863,1017.225144,291.3580379,44.24666117
27.70159804,25.90327451,22.37309804,17.21397059,15.94919608,14.63164706,15.13646078,106.1693137,147.8605294,249.2944902,276.4653627,280.4275686,280.7854902,280.9058235,1018.539356,285.7197195,51.53333333
27.04008824,25.51581373,21.32768627,16.39114706,15.15612745,13.94944118,14.39316667,104.6876765,146.8237157,250.2736471,278.9962941,284.282598,284.9067451,285.3097843,1013.804463,292.9412397,35.27785124
30.5022179,28.38114786,23.97236381,18.07621595,16.61909533,15.10417315,15.32571012,106.1517315,147.7576167,249.7602724,277.5215564,281.8710019,282.278035,282.6242218,1014.127213,287.1835246,64.58081967
